三径入青山	三径
百年虽壮岁	岁
终日舞秋风	舞
莫向山头挂	挂
将行到坐中	行
秋风凛凛九天风	风
极目诸宽更不通	诸
今日重来还有道	道
萧萧萧在寂寥中	萧
万事重来不是非	非
青灯照眼倍增明	明
老人愦愦真堪笑	笑
勘破题诗亦有情	破
一路浮云万里行	行
从公天上最先生	公
老来不是依前事	前
看得几多自有情	几多
百尺孤帆挂戍楼	挂
隔山不见故山流	山
孤帆到处无寻处	寻
桥下呼童上钓舟	呼
万事重来不是非	非
丫头宝剑一双飞	双
元来不是元何处	元
不是峨峨不得归	峨
画戟祥云跨彩鸾	鸾
北山安石对南山	石
如今不是呈金处	金
说与行人叹往还	叹
落叶萧萧似草庐	萧萧
小窗清夜读诗书	清
老来不作推窗梦	窗
不觉人间万事无	人间
两鬓浑如雪	雪
谁知屋屋间	屋
不将书字字	书
不是寺中山	寺
渡头无一线	一线
半是路傍人	人
不到诚斋处	斋
归来尚尚新	尚
自有一砚水	水
云山能叠叠	叠叠
山头秋月明	月明
秋山对秋草	秋
不作留人意	意
伤心自爱时	爱
夜来江上梦	梦
不悟故人知	悟
瞎驴走马访刘郎	郎
三拜重来二十郎	郎
自是周郎无一事	郎
如今应是一刘郎	郎
三百年来事不穷	穷
又闻吹雨更悲风	闻
世间万事非何事	非
都在明年一梦中	明年
不见枝头一叶红	红
一枝端欲诉天风	天
何时折得归来偶	偶
只在寒云细雨中	云
夹堤杨柳绿槐绿	绿
啼鸟衔花上苑花	花
旋种绿杨堤上树	树
离愁犹恨在人家	犹
不是无花未有花	花
行人行不到天涯	行
从来白日长相对	相对
只在人间十万家	人间
一树梅花四十春	春
百花无雨净无尘	雨
墙头绿柳千株绿	绿
蝴蝶双飞作主人	飞
夜泊孤舟古岸傍	傍
巴山流水一牛羊	茅
桃花隔水随人去	人
为我哦诗忆故乡	诗
不见山头月	月
飞来九月天	天
一篷今夜雨	篷
身是钓鱼船	身
废兴废兴废	废
论兵犹尚书	犹
瞎驴坟上冢	驴
老幼相亲书	相亲
不入神仙洞	洞
人间竹洞房	竹
往来无人识	识
千里出襄阳	千里
夜来风雨不胜秋	秋
一夜孤吟独上楼	吟
一夜梦中俱一事	俱
西窗一夜读书愁	书
柴门终日掩柴关	关
更有行人路往还	路
记得归来分到处	分
从渠处处见青山	渠
三十年来尚有诗	诗
从来何事更希夷	夷
只今惟有长安乐	乐
正是登山临水时	临水
万事无从事	从事
狂风拍拍来	拍
只在云烟里	云烟
还惊去不回	惊
昔日上羲皇	皇
乾坤无尽日	日
昨日纳些儿	儿
相争独无语	争
乞与幽人一炷香	香
不知何处是虞唐	唐
老来自觉人心静	静
记得归来岁月长	岁月
池上千竿竹	竹
江头月影寒	寒
山中有消息	消息
不用到长安	不用
三十年来尚有诗	诗
从今掺别别离离	不离
自从门外辽东去	门外
正是舟行无尽时	行
不见山头月	月
吴山寺里花	花
春风何处处	春风
何处不还家	家
岩下长安石	石
登山道路通	通
从来勤一事	勤
处处有新风	新
万事从来天地平	平
江南陌上柳青青	青
此翁归计知何处	翁
时泛扁舟过此亭	村
不挽车轮转	转
回头见雁回	雁
夜来天上雨	雨
不见此花来	花
岩上一株松	松
不复今无复	复
何事不相亲	亲
行人不教去	教
麻衣不着六铢衣	衣
岂是吾心自有期	心
四十年年无一事	年年
我来看取立多时	取
绿酒一樽酒	酒
西风吹落花	吹
可怜江上客	客
飞上紫天涯	紫
敏手不入手	手
从来聊自来	聊
从来今不拟	拟
那得广文开	文
红尘污不污	污
五十去年长	五十
旧事无人问	问
他山旧道场	山
万里清风委俗尘	尘
梦中曾是见游人	曾
此时莫向岩头去	头
解与西山作主人	解
从来春事已分明	分明
折得梅花一样轻	轻
不是鸣梭无到处	鸣榔
此心到处是先生	先生
昔日谢苏公	公
至今夕阳日	日
故人为客来	客
今日空日日	空
一树千株碧	碧
梅花一炷香	香
西湖花影里	西湖
唯有梅花香	梅花
不见山头月	月
归来水上船	船
夜来清未晓	清
春水绿悠然	绿
羽籥重来二十年	十年
不随云驭更凄然	云
谪仙不是呈金处	金
留得天香上九天	天香
万事从来不是良	良
从来不为尔为强	尔
一生作计终难事	难
处处方知是故基	基
云山叠叠叠家山	叠
清气虽清亦自闲	清
为问溪山无著处	问
更无踪迹在平间	正平
太液池边柳色新	新
天光莹莹益精神	益
游人不识苏公意	公
空与君王作主人	空
走马驱车马	马
胡床卧卧床	卧
百花千万烛	万
知是越王郎	郎
北风吹作朔风吹	吹
南北东南尽日迟	日
广陵今日无人见	无人
正是春风风雨时	春风
宝髻云鬟笑脸横	横
昭阳台上露华清	清
胸中自有神仙掌	仙掌
更有何人愿此生	愿
令人不识心	心
那得自工心	工夫
若不知君意	君
从来不可寻	寻
吴王宫殿锁烟霞	锁
独掩关关日日斜	关
疑是洛阳台上客	客
从兹不见石榴花	兹
江南陌上人	人
陌上草成茵	成
不是长鲸窟	三窟
安禅柏子房	禅
秋风凛凛九天风	风
已挫愁人淑气中	人
猿狖最知奇绝处	最
北风吹雨看春红	春
三十年来尚有诗	诗
至今谁料理新丝	新
老来何事无人识	识
啼鸟自来人不知	人
父子慎谨慎	慎
其诚何所存	怀
羲之犹所憾	犹
而乃古而存	古
一望吴城九陌头	头
夕阳城上听鸣驺	鸣
山深处处无人识	识
只有江山号故侯	号
功成败绩几经秋	秋
一望黄河血尚流	尚
不是元戎征战血	血
人间何处是诸侯	人间
独向阶前醉脸横	横
小楼寂寂悄无声	寂寂
人人尽向山中兴	兴
更欲凭天看月明	天
江头十日又春风	春风
漂泊扁舟到客中	客
明月未甘春水冷	甘
短墙如雨雨濛濛	墙
昔日登山忆故山	山
武陵桥上夜凭阑	夜
回头望断千山暗	暗
不与愁人着眼看	人
诏诏重来寄此身	身
故人知是汉功臣	汉
不知胡败成何事	胡
若使还家是主人	家
不露一时露	露
窗前草木香	窗前
春风何处处	春风
都在水云乡	无心
昔日登山忆故山	山
只今归去又春还	春
欲知春色今犹在	犹
为问游人自往还	问
日日赛嘉宾	宾
种得螟蛉种	种
不能费主人	费
盗跖为人笑	人
临水青山似辋川	川
北风吹雨饱风烟	风
落花草木谁相倚	倚
留与幽人作夜眠	夜
老来何事太匆匆	太
试向街头试角弓	试
好与使君同一股	茹
诗人犹自有诗穷	诗
三十年来一老卢	卢
骑驴走马走轻涂	轻
如今一掬溪头水	水
不是昔人曾也无	曾
不露一时露	露
春深意转深	深
春风乍晴处	晴
家处不伤心	家
不露一时露	露
梅花半坠腰	腰
可怜阶下草	草
全是折长条	全
青山只在水边头	头
只向青山处处游	游
自有游人归骑去	骑
不将风雨写离愁	写
一树梅花四十春	春
眼前花是旧时人	花
如今老子知多少	少
又是东风又早春	东风
昔日谢苏公	公
今年忆鲁公	公
一春天上雨	春
都在此行中	行
明朝骑马到南州	南
南北河清渭北流	清
知是毗耶江上客	客
无人还见别离愁	无人
乔木森森森绿野	野
森森乔木晚生寒	寒
陌头柳色知何处	头
终日倚栏终日看	终日
百花如锦绣翚飞	飞
宫女归来未解时	解
却向桃花儘深处	深
桃花帖水满瑶池	水
细雨出长干	干
聊将细细看	聊
不知三更漏	漏
老子报平安	老子
姑苏堤上千株柳	柳
一种桃花柳色新	新
昔日谢公归不去	公
不知何处有诗人	诗
帝子重来避俗尘	尘
客星稀处见星辰	稀
山头春色浓如蜡	蜡
风味清香不恼人	风味
百年只在此山中	山中
纵使群来迥不同	群
料得仙都在城郭	城郭
青山都在白云中	白云
礼乐谁为乐	乐
何人骑鹤归	鹤
北山虽不负	不负
风月满窗衣	窗
不得安心法	法
不是无非聋	无非
不得安心法	法
不将佛法通	法
自有一砚水	水
谁知佛祖风	风
山头秋月白	红
只傍绿阴中	傍
不见梅花开	梅花
飞来故故交	交
梅花总憔悴	总
玉笋出花梢	盆
西去西来十二吴	吴
不知秦汉故应无	汉
如今不是将军事	将军
日日看山人亦无	人
绿酒一樽酒	酒
一杯金满卮	金
不知身止酒	身
欲折看花时	折
送客能留客	留客
诸贤是主人	诸
会须无一事	须
何事不随分	分
十年不到五峰前	前
又见梅花几许愁	愁
唯有游人故相忆	忆
蓼花深处卧孤舟	卧
老向山中忆少年	忆
白云归去月依然	月
至今天下无鸿雁	鸿雁
应有书生死别篇	死别
白玉堂前一种梅	梅
梦中闻道雪花开	道
归来最是伤春处	春
留取堂前一种梅	梅
不得清幽怨	怨
幽花独自芳	芳
落花开一片	一片
疑是一时凉	凉
从来处处是公家	公家
每向清斋阅岁华	清
不是世间真隐隐	隐
向人深处种桃花	人
燕子归来事已残	残
斜风急雨倚栏干	雨
行人莫作披襟看	襟
安得闲身独自安	身
天下昔曾闻	曾
归来不见言	言
斯文殊未解	解
不教不能言	教
蜀山岩上一株松	松
急雨萧萧对晚风	雨
吹尽落花人不见	人
北风吹雨动秋风	动
乔木森森森夏木	木
石床凉簟怯新凉	裳
谁知独上无楼处	楼
风雨吹成秋夜长	成
一窗风雨泻檐声	声
卧听风窗听雨声	风
一枕西窗书枕梦	书
鸡声唤起枕边城	墙
主人到处不知名	知名
谁识胸中酒有情	酒
说与故人争一事	争
梅花处处有诗情	梅花
十年不得眼中书	书
翰墨重来墨不如	墨
记得百年香案吏	吏
老来长记读诗书	记
万株杨柳护春风	春风
都在琼楼日暮中	日暮
明日倚楼人不醉	人
杏花深处石榴红	深处
昔日登山第一登	登
谪官又得一官登	官
如今不到天台夜	夜
忽见飞来一老僧	忽
身是当年一病身	身
红尘满眼委埃尘	尘
傍傍草木知何处	傍
不见梅花有几人	人
江南陌上人	人
东去复南陌	复
不见朱幡胜	胜
撑空二千里	空
空山明月夜	夜
一夜明朝雨	雨
枕上一扁舟	扁舟
炎热浑不减	减
佛法从来不自修	修
举头云气不回头	云气
棒头入眼谁人识	人
放出片云不点头	片云
千年翰墨画难成	成
尚有馀香画不成	香
老子老来无限思	思
也知到处是郎情	郎
百尺竿头十万竿	竿
天津桥上带斜看	斜
不知桥上无人处	无人
白鹭飞飞万里滩	飞
欲去归来更不疑	疑
老来心事不知非	非
人间万事非何事	非
独泛扁舟载月归	月
不入龙门洞	洞
重来一窖尘	尘
今无些子子	子
不是不归人	人
不知谁是与刘郎	郎
又见南山急雨长	雨
记得到家缘底事	家
古来何事付刘郎	郎
一曲溪头燕颔须	须
伯仁心事不知无	仁
而今此去无消息	永
更有何人爱五湖	爱
淑气已如云	如云
和气一朝罢	罢
不议王子猷	议
谁知一亭下	亭
多病常多病	病
能知有几人	人
归来无尽日	日
何处不伤春	春
三十年来也未曾	曾
不知何处号鸣筝	号
老来万事还相逐	逐
三十年前旧姓名	旧
天上谁为指	指
行人不为群	群
故人犹自在	犹
犹自不为邻	邻
日日初长日	日
丰隆暑气微	微
乐天偏日日	偏
如水雪花飞	水
行人亦可怜	怜
岂是圣贤贤	贤
相逐将归去	逐
谁知不在前	前
令人忆昔时	忆
百百不堪悲	百
万事今犹在	犹
佳人在此时	佳人
黄金不涌金	金
飞入新诗里	新诗
春事已三年	三年
先生此时节	先生
江南陌上野人居	居
万里惟天不读书	天
携手自持携酒去	自持
醉中流出水中鱼	慢
不是维摩手	手
从来不相见	相见
只在此山中	山中
前头一花发	花
杨柳溪头陇麦黄	黄
北风吹雨百花香	香
白头日日相牵去	牵
一点黄花带夕阳	一点
不知谁是与刘郎	郎
便作东风古道场	东风
纵使刘郎无到处	郎
西风吹泪落天香	落
忽闻天上雨	雨
处处鸣鸠鸣	鸣
一雨画不成	成
无人还有酒	酒
惟有溪边竹	竹
春来意亦深	深
落花开夏木	木
谁识识人心	识
马上黄金鞍	金鞍
风清晓气清	清
开门对秋水	秋
不应听鸡声	不应
一树黄花挂荔枝	挂
山头紫翠最多时	翠
不知何处拟归去	拟
万事从教都不知	教
昔人虽不愿	愿
不自不持持	不自
自从今日出	日出
煌煌煌煌时	蟋蟀
长忆西湖处士家	家
不知今日又横斜	今日
一天自是无闲事	一天
小雨催租看落花	租
姑苏堤上千株柳	柳
一夜东风久雨来	久
攀折落花谁忍折	折
别来相望为谁开	怅望
万事从来作麽生	生
回头又得一时晴	晴
脚头失脚拖云去	云
走马冲泥走马行	马
夜来风雨到严陵	陵
知是江南第一僧	僧
老子老来浑底事	浑
落花初放上层层	放
不入壶中别有天	天
风光不挽本茫然	挽
老来不得追凉处	凉
一别魂清又几年	清
酷暑重来暑气清	清
老来魂梦不曾曾	曾
一床一榻茅斋罢	罢
卧听空斋半夜灯	空
十年不到五峰前	前
今岁秋空一坦然	空
准拟从来隆准拟	拟
涌金毛颖拥炉边	金
洞口归来只有鱼	鱼
不知端的信应无	信
自从到处时闻说	闻
自谓邻翁不是无	翁
打破虚空事已空	空
百花百草不相同	百草
此身自是无身处	身
踏破寒潭万里风	寒
昔日游山不胜游	游
醴泉流出大江头	江头
令人记得閒心事	心
说向青山卒未休	休
老去归来今几年	几年
一炉香冷更凄然	香
居人不问人何事	人
且借僧窗尽日眠	日
一阵东风作好风	风
朔风吹雨冻云空	云
看来不是宜时节	宜
日日相呼细雨中	呼
太液池边柳色新	新
落花千里不愁人	人
吴王陌上游游处	游
不见桃花莫笑颦	笑
群鸦飞上苑墙东	东
记得春归春梦中	梦中
今日归来书不断	书
北风吹雨落花风	风
谪仙本是老逋仙	仙
谪在人间百姓前	前
万树落花无尽处	撒
不教到处是长年	教
此去西来更有无	有无
桃花深处见红萸	红
如今雨打梨花去	梨花
记得归来旧里无	旧
万事有无间	间
临风怯远山	怯
一声春梦里	声
醉眼几时还	醉眼
临水登山处处求	求
寥寥寥落水中秋	秋
胸中惟有孤船子	子
忍听行人听客愁	忍
小小姑苏小	小
梅花也未须	须
老来成底事	成
为主自清癯	主
天上长安道	道
今从游子归	游子
可怜堤上柳	柳
空泪满鹑衣	空
今年十日未归来	归来
万户千门掩绿苔	掩
料得完全无一事	全
至今犹见落花开	犹
燕子归来一炷香	香
百花深处有流光	深处
与君归去知何处	君
莫怨东风欲断肠	东风
魏帝城边百尺危	危
何曾乐府是何时	何曾
望断断肠都不断	不断
绿杨深处有深碑	深
临水登山不可寻	寻
托根景物照人心	根
谁知不是菩提处	菩提
鼻孔辽天到夜深	天
两岸黄花竹绕篱	绕
卷帘开户便褰帷	下帷
游人不得相欢喜	喜
却是溪头艇子时	子
风雨恼人常不睡	睡
百年松上万年枝	松
逢人试问人何事	人
正是旌旌万里时	旌
寥落浮云散	散
清风暂暂开	暂
游人唯不见	唯
不见马飞来	马
乳燕归来春意深	深
黄鹂无语语伤心	语
梨花不是飞来雨	雨
满树梨花满树阴	春树
隔水骊山拥鼻观	观
懒烧芳烛更阑珊	芳
如今不见池边柳	柳
不敢将诗细细看	诗
遗恨不堪恨	恨
相逢不遇时	遇
别来今白发	白发
那得到家知	家
百年和气在东南	东南
不见梅花谢半酣	谢
料得从来伸喙吻	誓
史臣狼籍在东南	史臣
天上长安道	道
江南陌上春	春
内家携手手	手
一夜发精神	发
万事不为勤	勤
岂为何人种	种
何人为尔来	尔
憔悴不容易	易
白玉阶前一树阴	阴
每逢佳处不难禁	难禁
老来十日无余事	余
自有闲人有此心	心
独向孤峰顶上行	行
又随流水绕山行	山
溪山处处无人识	识
试看青山过一生	试
不入汉河汉	汉
月明河汉清	清
出门无人见	无人
不见月华清	清
真实不为诚	诚
更无些子子	子
不知别有天	天
天中有明月	明月
旧事无人问	问
山中酒更赊	酒
平生草生处	生
惟有命黄花	命
昔日登山忆故山	山
寥寥何处绝尘寰	寥寥
近来人物应难事	难
那得从容与我閒	容
昔日登山忆故山	山
老来何事不相关	关
洛阳陌上青青紫	紫
犹胜今犹半日闲	犹
栽种庭前树	树
花枝玉树春	春
梨花枝上雪	雪
千树拥寒云	云
一阵西风暑气凉	凉
案头香火瑀修篁	修
游人莫向山头话	话
只有梅花一炷香	香
洛阳陌上送行人	行人
不逐东风过雨尘	雨
今日武陵江上路	路
未应容处见游人	容
故国归来自有期	期
此情何不肯同时	肯
明朝细雨归来晚	晚
又见江山似旧时	旧
姑苏堤上千株柳	柳
杨柳黄花泪满衣	衣
惆怅别来愁别恨	愁
江南风雨送春归	江南
不见枝头一叶红	红
秋来更有一般风	风
大千世界无人指	指
洗得从来眼界空	空
垂钓扁舟系钓船	钓
柳丝扶疏故依然	疏
重来一日好风雨	风
只在桐江二十年	江
万事从来事不殊	殊
老来何事不关渠	渠
莫言一语无言语	语
不是闲身不读书	身
年来宁复复	复
不复为谁云	云
如此化为佛	佛
如今旧使君	旧
三百年来事不穷	穷
至今留在此山中	留
年年记得新年事	新年
更觉今年胜梦中	胜
风月在尊前	前
虽佳亦自然	佳
不知天上露	露
还是月明天	明
万事一开颜	开颜
何人学破颜	学
墙头秋月白	红
流水漫青山	漫
昔日登山忆故山	山
如今西去又吴还	吴
如今不见行人眼	眼
只有亲曾到此间	曾
平生万事太平生	平生
百草黄花各自黄	黄
今日谢公知有意	公
此中惟有一般香	香
日日初长日	日
西风步月迟	月
欲知春尽处	春
啼断落花时	断
太液池边柳色新	新
朱颜宋玉奉王宸	玉
君王宣赐金尊酒	酒
特赐君王赐圣人	烦
三十年来也未曾	曾
举头更上数层层	数
行人莫笑低头笑	笑
不是人间不可憎	人间
溪山佳处且迟留	留
满眼看来总是愁	愁
料得归来三殿里	月殿
百花如锦不回头	锦
白发垂垂泪	泪
胸中万卷书	书
春风不到处	春风
处处见春鱼	春
日日初长日	日
亭亭日日留	留
行人不相寄	寄
缘底不回头	底
岩上一株松	松
无春尚有风	春
不知无物物	物
只在翠屏中	翠
江南烟水中	水中
独向山中记	记
有鱼不得鱼	得鱼
一半橹声起	一半
胸中惟有一毛锥	毛
积涝初收不起时	收
若使诸贤无一事	诸
为渠渠自有新诗	渠
青山犹自昔曾来	曾
慷慨悲歌亦在哉	歌
回首休言有遗恨	休
如今记得几时来	当时
日日上危亭	亭
水边栽一茎	栽
我师殊有意	师
独有谢公情	公
绿酒一樽酒	酒
西风秋夜寒	寒
游人不得睡	睡
安得自平安	平生
一树无花尚有花	花
绿阴深处翠横斜	翠
重来枕上无书处	书
烟鸟穿林噪乱鸦	烟
自有一砚水	水
一仿佛祖风	风
枕上更无人	无人
独卧白云中	卧
天上长安道	道
黄河万里流	流
不知非一事	非
应不属苏州	属
一种荼醾压众芳	芳
百花如锦绣花香	绣
老来不被红尘扑	扑
蝴蝶飞飞粉蝶忙	飞
江南陌上人	人
杨柳不伤春	春
昨日将书去	书
看花似故人	懒
老来何事不关渠	渠
树上归来亦有余	树上
燕子归来霜已老	霜
剪裁青玉镜中书	玉
太白鹅黄柿叶红	红
满头霜月浸秋风	月
也知不是横斜处	横斜
只在分明境界中	分明
流水登山不可寻	寻
北风吹雨湿云心	云
十年不入山间路	路
却向空山扫石深	石
满目江山似昔年	昔年
不知今日又潸然	今日
老来自有知人意	意
万事从教一坦然	教
燕子归来春意深	深
故园杨柳已成阴	阴
黄莺飞去燕飞去	飞
风雨杜鹃声里心	声
赋罢梦难成	成
无言意转深	深
当时携手手	手
知是玉关心	玉
胸中多气魄	气魄
小作小嶙峋	小
铁笛一声里	一声
不知三日人	三日
一枝攀折向南枝	南
一叶漂红有几时	红
万事不随行路隔	隔
乱山深处有新诗	山
群鸦飞上苑墙东	东
都在东山入梦中	东山
记得招提相别处	招提
白云飞上白云风	白云
万事从来作麽生	生
此心期处是虚明	期
要知一点无心处	一点
岂是无心弄一声	弄
十年不得眼中书	书
岁月安心事不如	岁月
更有谁家数椽笔	笔
何人知是故人居	居
身是当年一病身	身
好风风雨委埃尘	风
老来旧事真堪恨	堪
不是梅花一笑人	人
今日重来不见君	君
不知天上帝如云	帝
此中况是知何处	况
二十四时俱不闻	俱
当年丹芍药	药
不作杜陵诗	诗
今日花如雪	雪
不吟明月时	吟
归来处处有清风	清风
只在高楼小阁中	小
猿鹤归来今已久	久
能来何处不相同	能来
秋水平如镜	镜
湖光射月光	射
夜来空画里	空
物色是非光	非
身是当年一病身	身
老来心事一时新	新
如今不见山头碧	碧
又作千山万里春	春
万仞峰头欲插天	天
北风吹雨落江边	落
欲知此物无聊赖	聊
此水有山山自然	山
西风凛凛九天风	风
半在清溪细雨中	溪
待得溪头花白发	花
归来应不是吾宗	宗
昔人今不记	记
闻道昔人稀	道
自古无人学	学
今从何处吹	吹
南北东南北郭茔	北
登山准拟筑长城	拟
闻闻闻说南朝事	闻
愁听穷愁听雁声	愁
处处是渔灯	渔灯
梅花慰牢落	落
不随烟雨来	烟雨
只在双峰里	双峰
江南陌上野人居	居
把酒看花意不如	意
江北墙西无觅处	西
却将诗寄梦中书	诗
物情尤物物	物
造物已成川	川
惟有山头月	月
千岩万壑然	万壑
礼乐谁为乐	乐
归来不是秋	秋
萧萧萧郡郡	萧
不饮别离愁	饮
中有幽人一炷香	香
梦中犹有此花香	花
看来自是无闲处	闲
镜里飞来日月长	镜
陌上笙歌舞	舞
珠帘雨露寒	寒
卢童弹一曲	童
流出涌金盘	金
折得清风一葛藤	藤
故山苍翠上层层	山
归来处处长相忆	忆
夜半猿声到广陵	夜半
缟裙练帨映烟霞	映
影落斜斜花影斜	落
独倚西窗听秋雨	秋雨
傍人风雨看梅花	人
春色已分明	分明
村西第一声	西
会须缘底事	须
应不见君情	君
十年不到五峰前	前
想见行人意豁然	意
今日归来江寺里	江
不知人去几千年	人
打破虚空事已空	空
棹来一棹月明中	棹
无端的的知人意	意
争得回头是大虫	虫
江南陌上人	人
万事纷纷竞	竞
终日殢春风	春风
只在清影里	清影
昨日重来蜀锦囊	囊
今年春事自忙忙	忙
桃花陌上看秋雨	秋
一树桃花竞隔墙	竞
万里秋光满夕阳	夕阳
百花飞尽紫霞觞	飞
游人莫向山中宿	宿
今日还曾到夕阳	曾
一跌浮云万里行	行
北风吹雨入山行	山
古来门外知何事	门外
只隔南州第一声	隔
草色连天迥	迥
清光出世尘	世尘
不知天上月	天
知是故山人	山
稚子金黄金叵罗	罗
蓬莱午枕梦中多	蓬莱
月明一夜深风雨	深
燕子觉来羁客多	客
天上一齐梁	梁
西来是道场	日
可怜陌上女	女
流水度青桑	度
万事有无间	间
岩头与北山	头
摩挲无一事	摩挲
起舞几时还	舞
北风吹雨泣西风	西风
今日思君一梦中	君
流水落花无限意	意
落花江上早春风	早
老去归来事已先	先
好风吹雨更凄然	风
明朝又向残阳去	残阳
一树青红是几年	红
万事重来不是非	非
不知儿辈自风流	儿
老来万事空无事	空
只在南山最上头	头
从来万事不争先	先
料得身心犹自然	犹
饶舌本来无一事	太
此心犹自注诗篇	注
绿酒一樽酒	酒
令人把酒杯	解
梅花又生酒	生
又向赵州来	州
昔日登山忆故山	山
遗沟宛在水中间	沟
归来山去知何处	山
隔水青山总往还	总
一舸乘风入楚云	云
落花千里别离愁	愁
归来不是思归客	客
借我扁舟坐白头	坐
东南南北各东西	东西
西望芜城路不齐	城
马上何人听吹笛	何人
一声秋里听猿啼	秋
蝶乱莺花乱	乱
青青草树青	青
落花犹带雨	犹
风雨涨新亭	涨
万事从来作麽生	生
老来强作百年强	强
如今马上三千骑	骑
不是当时俱自忙	俱
惟有溪边竹	竹
归来夏亦凉	凉
夜来池上雨	雨
幽鸟入幽房	幽
一望青山不入山	山
不随云气出云寰	云霄
我来且与登山约	约
欲扣孤云自往还	扣
昔人常不受	受
今为化为子	子
胸中有客来	客
欲访戴将去	谒
长忆西湖处士家	家
羡师春事自参差	师
我来杖策勋名处	名
遗在青山自一家	遗
洞口归来只有鱼	鱼
满庭木叶满簪裾	庭
不知日日随人去	人
留作南山尽日书	日
绿柳千株绿	绿
千花万树红	红
中庭何处处	中庭
都在树阴中	树
欲去又重来	重来
经年拨不开	经年
不知君会否	君
不为何人来	何人
不随车马走	走
白雪满林林	林
只在山深处	山
不知春意深	深
初入武陵溪	溪
山花画如画	画
处处有荷花	荷花
归来亦无数	无数
燕子归来一炷香	香
百花飞尽紫霞觞	飞
不知春色今犹在	犹
眼底梅花欲断肠	底
春风细雨杏花繁	繁
攀折残花托返魂	托
不见故人成别恨	成
拍天流水隔重门	天
天上更无人	无人
惟有惟相亲	惟
无心惟有酒	酒
不是声中人	声
北山归去杳无踪	踪
无迹登山不见踪	迹
陌上行人还自笑	笑
云山都在石千峰	石
岂不知人意	意
还知夜漏迟	夜
可怜江上客	客
不是卧多时	卧
今日重来不见君	君
迟看陌上别离群	迟
如今二十二十二	第二
今日重来诗送君	诗
园里桃花不见春	春
黄梅恰恰恰新新	恰
春来物色浑无数	数
细雨落花愁恼人	愁
踏破阶前竹	竹
登山忆故山	山
江村何处处	江村
郎不在人间	郎
此去重来有几人	人
幽花处处见幽春	幽花
如今四海知何处	四海
安得重来不得亲	亲
何事谁能慰我怀	怀
老来何事又还家	家
行人且喜无欢喜	喜
折得清香更有花	有香
蒲团枕簟送新凉	蒲团
闭户珠帘白昼长	闭户
到得风光方莹彻	彻
月移花影透寒香	寒
万事事难成	成
心中有此身	身
不知三世俗	俗
不是思他人	思
胸中无物物	物
不见落花飞	飞
岂是宽宽地	宽
胸中第一机	机
按部笙歌杳不闻	闻
汉宫歌舞解祥云	解
西风吹破吴王梦	梦
不是君王是妾心	心
江北江南九月天	天
千岩草木亦苍然	岩
故山猿鹤知何处	山
唯有梅花在水边	水
夜来风雨更凄凉	凄凉
惟有猿声苦更长	苦
流水落花无处问	问
不知何处有修篁	修
日日初长日	日
无人更有人	无人
相应无一事	相应
谁是不归人	人
千古佛法妙	妙
一体玉无瑕	玉
拈来不是空	空
板桥自出家	板桥
碧纱窗下读书窗	窗
乐事真堪事可伤	堪
惟有游人不相报	报
谁知枕上有新凉	枕上
岂无一事若为谋	谋
故国由来命亦轻	轻
休叹人间有遗恨	休
不将双泪向淮流	流
串串黄金铸紫金	紫金
双双袖手自伤心	手
老来不拟将将去	拟
翻及梨花一夜深	翻
燕子归来渐渐稀	渐
隔帘香雾尚沾衣	香
夜来风雨忽惊起	忽
独自有诗归未归	诗
桂树梅初熟	熟
梅花不耐秋	秋
故人知有信	信
老去不须头	不须
金缕金黄金缕金	金
水晶帘映碧云深	映
沉香殿里吹香处	香
尽是薰人妃子心	人
麦陇麦苍苍	苍
黄犹草树黄	犹
飞花忽飞去	忽
随分老农桑	分
年来宁复复	复
天地每伤心	天地
何事成何事	成
非关日夜深	非
元来元不来	元
日月辉光彩	彩
不知天上人	人
胸中有诗里	诗
园里桃花不见春	春
北风吹雨为谁云	云
桃花一阵吹香去	香
尽是桃花陌上人	人
不得一生来	生来
从头头不开	头
不知天地间	间
也自强强来	强
山云黯黯万重云	云
野水浮云处处生	生
正是故园招隐处	园
又催岩上听鸡声	催
世事从来知世事	世事
归来还自秣陵来	陵
只今惟有庭前竹	竹
终日呼童扫不开	呼
已从云外来	云外
山路如泥滑	泥
不见陌上人	人
独自将灯去	灯
万事重来不是非	非
万千千万万天机	万
古来不信音书在	书
不惹缁尘泪满衣	尘
一树无花尚有花	花
此心心物在天涯	心
涌金春色知何处	金
时有啼莺啼暮鸦	幽
不是当时节	节
方知是旧仪	旧
谁知斗杓曲	按曲
又见落花飞	飞
千年翰墨画难成	成
剪刷东风一样轻	轻
若使君王宫样少	少
与君知我亦多情	君
昔人常不受	受
春事已衰残	残
心事如今日	今日
当时须细看	须
乌鹊桥边柳色新	新
笙歌舞罢弄青春	罢
争争堤上桃花柳	争
不是闲人不恼人	闲人
王母阶前万斛珠	珠
蕊珠如玉玉如酥	玉
游人不向樽前醉	醉
却向春山卧画图	卧
夜来风雨不胜秋	秋
不见梅花总是愁	愁
匹马归来无匹马	马
马蹄行尽不曾瘳	行
醉脸初开翡翠微	微
一枝攀折向南枝	南
墙头春色浑如水	水
非是西风细雨时	非
已怯东风衮衮衣	衣
凤凰堂上燕双飞	笼
昭阳陌上黄鹂语	语
返尽残花去不归	返
万壑千山隔	隔
遥闻金谷鸟	鸟
可怜江上客	客
知君在何处	君
