一径无三径	三径
朝来旧事俱无事	俱
更欲将书寄故侯	书
柴门终日掩柴关	关
不入青山路往还	路
说与主人从此分	分
不知渠不到人间	渠
老子从来自有诗	诗
不知何处是吾夷	夷
谁知乐乐山中乐	乐
正是南山清水时	临水
乐事知何事	从事
扁舟拍拍颠	拍
烟烟千万里	云烟
莫向梦中惊	惊
昔日谒羲皇	皇
今日无此日	日
不知胡哺儿	儿
走马不争去	争
一炷一炉香	香
众生亦有唐	唐
闭门清静静	静
岁月有秋光	岁月
江上千竿竹	竹
西风五月寒	寒
行人得消息	消息
不用倚阑干	不用
老子从来自有诗	诗
百年心事已多时	不离
年来只在阊门外	门外
正是少年行尽时	行
明月湖边月	月
飞来陌上花	花
春风何处处	春风
知是野人家	家
石石石石石	石
圆通何处通	通
从来勤不用	勤
何处有新功	新
春来气未平	平
叶叶青青青	青
独有渔翁翁	翁
独听村鸟声	村
宛转如轮转	转
浑如雁雁惊	雁
不知江上雨	雨
花发杜鹃声	花
石上一株松	松
孤云去复还	复
别来亲不见	亲
争教在人间	教
细雨湿罗衣	衣
伤心心自飞	心
年年在何处	年年
载取送春归	取
把酒一樽酒	酒
东风各自吹	吹
可怜湖上客	客
不见紫垂垂	紫
不作游人手	手
聊将袖手看	聊
老来聊不拟	拟
文不作毫端	文
披衣污布衣	污
二十千年归	五十
故人不相问	问
青山买山归	山
百年尘里委埃尘	尘
今日何曾是故人	曾
待得白头头白白	头
不知谁解解行人	解
少年心事不分明	分明
三十年来事便轻	轻
时听乌蝉归去去	鸣榔
不知何处是先生	先生
不是谢公公	公
不知如此日	日
安知陌上客	客
明月满空水	空
春水千峰碧	碧
桃花一树香	香
西湖在何处	西湖
何处见梅花	梅花
明月湖边月	月
归来上上船	船
碧波清似镜	清
两岸绿青莲	绿
二十三年二十年	十年
白云云去亦依然	云
不知金凤今何在	金
不是天香似少年	天香
老子从来不自良	良
一生心事尔更长	尔
古来乐事今难易	难
抵死从来更自昌	基
千峰叠叠叠千峰	叠
野水澄清杳霭中	清
不是游人无处问	问
不知都在太平中	正平
燕子溪头柳色新	新
不知何处益游人	益
谁知昨日从公去	公
今日空空作主人	空
渡头骑马马	马
日日卧南山	卧
扁舟千万骑	万
不是望郎船	郎
东风吹逐北风吹	吹
日日东风尽日迟	日
桃花深处无人见	无人
开到春风有几时	春风
洛阳桥上小桥横	横
一树梅花一样清	清
记得不来仙掌去	仙掌
不知何处愿先生	愿
何人识此心	心
何处是工夫	工夫
不是君知否	君
相寻处处无	寻
白云深处锁烟霞	锁
门掩柴关第一家	关
行客不知无俗客	客
岂知何处在天涯	兹
往来天上人	人
万事亦难成	成
不得三千丈	三窟
须知不是禅	禅
西风吹雨满天风	风
不在愁人一梦中	人
只在江山最深处	最
不知春在雨声中	春
老子从来自有诗	诗
朝来把酒读新诗	新
少年旧事无人识	识
不是故人人不知	人
稚子慎为桓	慎
谁知有此怀	怀
人言事犹在	犹
今古髑髅开	古
扬子山头不白头	头
数声鸣橹逐风流	鸣
青山处处无人识	识
时有行人号白头	号
三十年来四十秋	秋
往来归去尚风流	尚
白云落尽浑如血	血
不到人间一白头	人间
洛阳桥上小桥横	横
寂寂青山夜雨生	寂寂
记得扁舟临水兴	兴
一天风月到天明	天
去年今日又春风	春风
又见梅花到客中	客
折得杏花甘不老	甘
晚风吹雨过墙中	墙
江上万重山	山
高楼夜未阑	夜
江头花影暗	暗
知是几人看	人
翻身是此身	身
若不出汉汉	汉
不是胡胡胡	胡
侬家千万里	家
秋风承露露	露
烛影满窗前	窗前
不是春风面	春风
无心不一年	无心
江上万重山	山
江南春不还	春
燕子今犹在	犹
归来问远山	问
天子幕中宾	宾
不向宫中种	种
不不费行人	费
故人人不识	人
三十年来似辋川	川
疾风风去定依然	风
朝来水上凭栏倚	倚
一夜清风夜悄然	夜
少年何事太匆匆	太
又试荷花入望中	试
老子从来不拘束	茹
一杯沽酒寄诗筒	诗
何处是毗卢	卢
先生体体轻	轻
不知天下水	水
不是不曾曾	曾
秋风承露露	露
风散柳枝深	深
日日看晴雨	晴
还家花满林	家
秋风承露露	露
缕缕缕丝腰	腰
自是池边草	草
都全也不消	全
扬子山头不白头	头
游人来向水中游	游
游人骑马骑骑去	骑
付与诗人写白头	写
不见梅花二十春	春
可怜花发不宜春	花
不知今日桃花少	少
付与东风作主人	东风
不是谢公公	公
谁能与我公	公
不知春已老	春
行到到山中	行
南北东南北海南	南
一楼秋色照清潭	清
江南南北江南客	客
行路无人过灞桥	无人
青山连野野	野
细雨怯寒寒	寒
怪得头头白	头
举头终日看	终日
江上雁飞飞	飞
孤舟未解归	解
烟深树深处	深
陇水鹭双飞	水
天子从来势未干	干
聊将车马过长安	聊
不知日日銮銮漏	漏
赢得当时子子看	老子
杨柳湖边柳	柳
桃花柳色新	新
谢公堤上去	公
处处是诗人	诗
百年尘里委埃尘	尘
踪迹由来踪迹稀	稀
安得老来惟有蜡	蜡
一年风味故人归	风味
只在此山中	山中
从来见群群	群
不知到城郭	城郭
南山来白云	白云
昔乐山中乐	乐
朝来待鹤归	鹤
妾心今不负	不负
又向北窗归	窗
佛法无佛法	法
本是无非是	无非
本无佛法法	法
佛法无法法	法
流水山前水	水
西风万里风	风
落花红欲落	红
独傍白云中	傍
何处见梅花	梅花
落花交物华	交
不知总春色	总
涓滴对梅花	盆
百年亡国出吴吴	吴
汉国雄兵入汉图	汉
不是将军无一事	将军
不知元是晋人都	人
把酒一樽酒	酒
看花不似金	金
不知身不老	身
不折老人心	折
万里无行客	留客
诸诸去不来	诸
主人须信手	须
分得一分开	分
千峰只在万峰前	前
极目青山总是愁	愁
不是游人不相忆	忆
不知何处卧渔舟	卧
忽忆当年忆昔年	忆
一湖明月月连天	月
如今零落归鸿雁	鸿雁
不恨当时是去年	死别
蜡梅枝上一株梅	梅
不见梅花为道开	道
蜂蝶不知春已老	春
雪中惟有一株梅	梅
心事令人怨	怨
寻芳独自芳	芳
可怜一片片	一片
那得四时凉	凉
不知何处是家家	公家
惟有霜清占岁华	清
今日往来无隐隐	隐
几人笑我看梅花	人
一树桃花菊未残	残
东风疎雨怯春寒	雨
游人不得襟愁薄	襟
赢得闲身耐岁寒	身
白云深处昔曾曾	曾
天下谁言老老僧	言
认得老来都不解	解
莫教教是北山僧	教
石上一株松	松
空山雨中雨	雨
往来无远人	人
不觉秋风动	动
只在山边木	木
霓裳锦绣裳	裳
玉楼楼一曲	楼
荷叶自成香	成
杜鹃声里听溪声	声
一夜听风听雨声	风
安得渡头书雁雁	书
绿杨墙里一蝉鸣	墙
不知何处是功名	知名
今日重来酒自倾	酒
不是主人争底事	争
梅花万事更多情	梅花
来读读书书	书
中有翰墨墨	墨
可能为吏吏	吏
亦有故人记	记
去年今日又春风	春风
今日高楼日暮中	日暮
满树落花人不见	人
杏花深处听春风	深处
临水登山不可登	登
不知何处与官登	官
遥知昨夜青山夜	夜
忽见青山一夜灯	忽
翻身是此身	身
刹刹委埃尘	尘
却向柴门傍	傍
那知世上人	人
往来天上人	人
登山亦何复	复
景物胜斯人	胜
惟有空遗迹	空
不在山中夜	夜
不作山中雨	雨
扁舟枕上来	扁舟
山色不相减	减
从来独自修	修
爽气好云气	云气
不是使人人	人
依然白云水	片云
万事事难成	成
归来一炷香	香
主人无限思	思
不是是刘郎	郎
流水桥边又一竿	竿
小桥斜岸没征鞍	斜
青山处处无人见	无人
白鸟飞飞去不还	飞
老子从来亦不疑	疑
百年心事不知非	非
如今万事非吾事	非
却向青山载月归	月
本在湖边洞	洞
黄尘陌上尘	尘
可怜渔艇子	子
知是未归人	人
何处是刘郎	郎
东风急雨长	雨
侬家家寺里	家
处处是刘郎	郎
少年何事不须须	须
岂是仁仁一事无	仁
不是主人何自永	永
不知何处爱吾无	爱
细雨已如云	如云
幽人迎宴罢	罢
我欲继行人	议
亭亭在亭上	亭
百年无病病	病
何事不逢人	人
日日柴门日	日
谁知陌上春	春
白云深处昔曾曾	曾
门外青山独自号	号
归去逐来归去去	逐
个中不是旧题名	旧
此地不可指	指
行人各自群	群
君子今犹在	犹
至今邻墓坟	邻
日日无归日	日
归来暑气微	微
故人偏不得	偏
一带水双飞	水
一树梅花亦可怜	怜
谁知不是主人贤	贤
如今不逐春风去	逐
不见梅花不到前	前
忽忆当年忆昔年	忆
至今今日百欣然	百
如今旧事今犹在	犹
不见佳人亦偶然	佳人
春色白如金	金
新诗有浅心	新诗
三十三年好	三年
先生一寸心	先生
不是野人居	居
须知别有天	天
自持无老子	自持
回拍亦跫然	慢
不作游人手	手
从来相见来	相见
山中何处在	山中
不见此花开	花
黄叶枝头柿叶黄	黄
满炉香火一炉香	香
主人牵得游人去	牵
不是梅花一点场	一点
何处是刘郎	郎
东风昨夜长	东风
萧郎在何处	郎
满泪落衣裳	落
细雨不成雨	雨
虫鸣独自鸣	鸣
相思不成梦	成
止酒更无声	酒
江上千竿竹	竹
青山草树深	深
不知桥上木	木
谁识主人心	识
金鞍车马出京华	金鞍
月色华清对月华	清
记得一秋江上雁	秋
不知不是看梅花	不应
落日挂江头	挂
远水连岚翠	翠
扁舟不拟来	拟
鸥鸟还教去	教
老来宁不愿	愿
老子不可为	不自
不知日日归	日出
肠更一更长	蟋蟀
江上青山处士家	家
去年今日见桑麻	今日
一天细雨无风雨	一天
来趁归来看杏花	租
杨柳湖边柳	柳
春风久未回	久
不知何处折	折
怅怅故人来	怅望
湖边春草生	生
暮雨连日晴	晴
飞来山上云	云
又作鲈鱼马	马
不知何处是严陵	陵
不到山中有一僧	僧
不是胸中浑底事	浑
看来处处放明星	放
渺渺长江水拍天	天
扁舟何处挽渔船	挽
芦芦两岸凉如水	凉
清泛孤舟钓钓船	清
流水自清清	清
吾曾有此经	曾
朝来歌罢罢	罢
松叶扫空青	空
千峰只在万峰前	前
古树空空锁暮烟	空
记得老来都不拟	拟
涌金门外貯神仙	金
西风飞上钓鱼鱼	鱼
不信东风信信疏	信
昨夜梦中闻鸟语	闻
放翁听得读诗书	翁
斜风细雨扫空空	空
百草荷花草草中	百草
不是此身何处处	身
淡烟寒雨一秋风	寒
二十年来何处游	游
如今只在浙江头	江头
如今老去心何事	心
每到青山去未休	休
二十十年知几年	几年
又随香雨落花边	香
如今日日随人见	人
他日重来到水边	日
西风吹雨满天风	风
梦断寒云入梦中	云
不是主人宜著处	宜
相呼细雨听西风	呼
燕子溪头柳色新	新
渡头春色不愁人	人
不知昨日来游处	游
不见梅花笑杀人	笑
西来沧海东	东
钟声入梦中	梦中
山中寄书雁	书
吹起一帆风	风
疑是谪仙仙	仙
不在髑髅前	前
完得擎钉了	撒
不教教教传	教
世人心事有无知	有无
枫叶漂红又一枝	红
正是梨花今更好	梨花
看来不是旧多时	旧
极目青山杳霭间	间
举头风雨怯轻寒	怯
一声钟鼓催声去	声
却向峰头照眼看	醉眼
此性从来本自求	求
秋来赢得一秋秋	秋
不知老子船头子	子
赢得回头忍白头	忍
白日青山小	小
梅花去未须	须
梅花成蝶梦	成
不是主人无	主
主人无道道	道
游子见君子	游子
陌上千株柳	柳
零落空江水	空
归去不归来	归来
出门望不掩	掩
山色完不全	全
花落草犹湿	犹
一炷一炉香	香
多在无深处	深处
看来不是君	君
又向东风去	东风
踪迹由来势不危	危
不知此事不曾为	何曾
不知不断断肠断	不断
卧听溪深听雨时	深
老去归来不可寻	寻
我来根不到山林	根
不知不是招提处	菩提
付与辽天洗我心	天
缭绕疏篱竹绕篱	绕
幽人独坐立多时	下帷
主人自有游人喜	喜
正是梅花著子时	子
老人都不睡	睡
只有一株松	松
往来人不见	人
龙在月光中	旌
陌上秋风散	散
东风去暂归	暂
谁知唯上水	唯
匹马送春归	马
春来春意深	深
独向山中语	语
不见山中雨	雨
花树残花落	春树
从来本自观	观
此地无众芳	芳
门前一株柳	柳
处处有诗香	诗
别恨都无恨	恨
多情不遇时	遇
夜来将白发	白发
不是到家时	家
东南南北在东南	东南
惟有佳人谢老庵	谢
若假君王能好事	誓
武臣应不到江南	史臣
主人无道道	道
今日又逢春	春
唯有调羹手	手
应怜发发人	发
稚子从来不自勤	勤
不知何处种双群	种
不知此事谁为尔	尔
只有秋风易使君	易
杨柳桥边绿树阴	阴
稀稀不禁不相禁	难禁
主人记得知余在	余
不见梅花一片心	心
白水浮云万里行	行
白云深处买山行	山
青山处处无人识	识
试向青山试一行	试
从来如汉汉	汉
一夜梦魂清	清
万事无人见	无人
秋风入太清	清
圣国从来自有诚	诚
谁知天子子功名	子
不知功德皆天爵	天
明月满天明月明	明月
往事如相问	问
有酒惟有酒	酒
不得先生生	生
主人不为命	命
江上万重山	山
寥寥独往还	寥寥
人心转难尽	难
容我几时还	容
江上万重山	山
柴门半掩关	关
不知天上紫	紫
犹在白云间	犹
不见庭前树	树
今春不是春	春
可怜冰雪雪	雪
吹雨作寒云	云
昨夜东风暑气凉	凉
小窗花影入修篁	修
诗情不与幽人话	话
唯有梅花一炷香	香
日日送行人	行人
夜来江上雨	雨
不知山下路	路
何处不容去	容
二十年来何所期	期
今年未肯送春归	肯
今年归去归来晚	晚
不是门前旧钓矶	旧
杨柳湖边柳	柳
杨花泪满衣	衣
故人愁不去	愁
南北向南归	江南
一叶枝头柿叶红	红
西风吹雨满天风	风
行人不向钗头指	指
只在虚空眼自空	空
百尺湖边钓钓舟	钓
竹篱疏疏自飕飕	疏
西风不逐天风起	风
雨过沧江江水流	江
三十年来事不殊	殊
一生心事是渠渠	渠
如今不与他人语	语
不是身身不得无	身
行人不复复	复
何处有寒云	云
不是柴门佛	佛
归来旧旧痕	旧
三十年来事不穷	穷
主人留去不相同	留
今年记得新年别	新年
也胜桃花入梦中	胜
千峰只在万峰前	前
景物相佳亦自然	佳
细雨不知冰露露	露
眼明明眼上青天	明
不知何处是孱颜	开颜
只学从来不可攀	学
桃叶白头红又白	红
漫漫漫漫漫漫漫	漫
江上万重山	山
吴吴去不还	吴
可怜老病眼	眼
到此不曾还	曾
何处是平生	平生
回头面面黄	黄
谢公归不得	公
煨火一炉香	香
日日无归日	日
西窗月正斜	月
不知春入梦	春
细雨断梅花	断
燕子溪头柳色新	新
桃花飞上玉红尘	玉
洛阳陌上人家酒	酒
今日相烦作主人	烦
白云深处昔曾曾	曾
惟有青山数梵音	数
不是游人还自笑	笑
人间何处有人心	人间
少年何事不相留	留
一树梅花总是愁	愁
月火不归金殿里	月殿
梨花枝上锦搔头	锦
江上千行泪	泪
山中一纸书	书
春风花影里	春风
处处是春鱼	春
日日无归日	日
梅花处处留	留
落花无处寄	寄
怪底不回头	底
石上一株松	松
桃花春已空	春
春来无物物	物
翻作翠屏风	翠
扁舟过水中	水中
欲向山中记	记
个中有鲤鱼	得鱼
一半枫林下	一半
陌上鬓毛毛	毛
已收春色白	收
妾在诸闺中	诸
不向渠侬去	渠
白云深处昔曾曾	曾
时听笙歌一曲歌	歌
不是游人休别恨	休
当时何处不如何	当时
洛阳亭上倚危亭	亭
乔木初栽种不成	栽
不是柽师何处处	师
我来安得为公耕	公
把酒一樽酒	酒
清风一夜寒	寒
主人不是睡	睡
不作一生看	平生
梦里寻花不见花	花
一枝浓翠衬黄鸦	翠
不知老子书多少	书
一炷烟炉一煮茶	烟
流水山前水	水
西风万里风	风
无人应不见	无人
独卧白云中	卧
主人无道道	道
不不不为流	流
嗟我不知非	非
令人属上楼	属
一树桃花一众芳	芳
藕花深处绣衣裳	绣
东风细雨扑春雨	扑
乳燕初飞一树香	飞
往来天上人	人
今日二十春	春
中有箧中书	书
而今懒主人	懒
不知何处是渠渠	渠
树下归来何处无	树上
记得山头霜树冷	霜
一声飞上玉明珠	玉
一叶枝头柿叶红	红
一帘斜月照秋风	月
西窗烛影横斜里	横斜
只在分明一梦中	分明
老去归来不可寻	寻
往来云去本无心	云
欲寻行路桥边路	路
白石岩前石满林	石
当年似昔年	昔年
今日是今日	今日
唯有主人意	意
主人不教去	教
春来春意深	深
杨柳绿阴阴	阴
白鸟不飞去	飞
溪声摇暮禽	声
万事事难成	成
年来意亦深	深
谁知天上手	手
不是玉黄金	玉
爽气有时时	气魄
空山方小小	小
蝉声无一声	一声
明日过三日	三日
南北东南北海南	南
数株芳树满红潭	红
游人不向青山隔	隔
犹有寒山野野僧	山
西来沧海东	东
爽气如东山	东山
何处不招提	招提
只在白云间	白云
湖边春草生	生
日日不相期	期
个中无一点	一点
不是弄蛾眉	弄
来读读书书	书
岁月今夜月	岁月
老来无一笔	笔
不是主人居	居
翻身是此身	身
不是是天风	风
不是真堪老	堪
不知人不同	人
何处不为君	君
不是故乡帝	帝
况况少年期	况
至今俱一事	俱
春色不如药	药
新诗亦有诗	诗
可怜冰雪雪	雪
终日更吟诗	吟
不知何处好清风	清风
流水青山小未通	小
啼鸟不知人事久	久
来来只在月明中	能来
一镜光如镜	镜
光光射玉珠	射
一空明月色	空
非是本非珠	非
翻身是此身	身
又得一番新	新
一碧浑如碧	碧
须知不是春	春
渺渺长江水拍天	天
西风吹落画桥边	落
不知何处聊归去	聊
不见湖山四十年	山
西风吹雨满天风	风
家在苕溪古寺中	溪
不见桃花见花发	花
不知何处是吾宗	宗
本来都不记	记
学道何曾道	道
学学不不学	学
风吹当不吹	吹
南北东南北	北
东风不拟来	拟
林中闻鸟语	闻
日日莫愁开	愁
长灯夜夜起孤灯	渔灯
零落梅花落满庭	落
记得春来好烟雨	烟雨
孤峰细雨又青青	双峰
不是野人居	居
谁能知此意	意
只在东西西	西
哦诗不回首	诗
造物本来无物物	物
却随流水辋川川	川
此中只有溪边月	月
万壑清光一黯然	万壑
昔乐山中乐	乐
青山万里秋	秋
夕阳萧白雁	萧
还不劝人愁	饮
一炷一炉香	香
须知不是花	花
须知是闲地	闲
不是镜光华	镜
陌上西风舞	舞
东风五月寒	寒
侍童花树下	童
翠袖涌金盘	金
万仞峰头百尺藤	藤
乱山叠叠碧层层	山
青山处处多相忆	忆
夜半山中第一灯	夜半
玉色祥光映彩霞	映
小桥流水落人家	落
不知何处多秋雨	秋雨
不见吴人一树花	人
少年心事不分明	分明
又向街西日日行	西
料得老来须底事	须
不知何处是君情	君
千峰只在万峰前	前
极目青山意豁然	意
万顷一江千万顷	江
却随人上上渔船	人
斜风细雨扫空空	空
独棹扁舟入梦中	棹
不是主人知此意	意
不知何处更无虫	虫
往来天上人	人
桃花竞竞竞	竞
春风妒春风	春风
花影照清影	清影
池上锦囊囊	囊
桃花处处忙	忙
不知秋草草	秋
儿女竞青桑	竞
江上青山对夕阳	夕阳
落花飞叶满斜阳	飞
西风昨夜游人宿	宿
离梦还曾是故乡	曾
白水浮云万里行	行
白云深处买山行	山
归来只在柴门外	门外
只隔青山不隔城	隔
积水千峰迥	迥
嚣尘一点尘	世尘
遥知天夜月	天
不是见山人	山
陌上紫罗罗	罗
蓬莱无路过	蓬莱
春深草树深	深
自是不归客	客
梁武城头燕子梁	梁
朱门日日日偏长	日
谁知不是昭阳女	女
一夜春风度夕阳	度
极目青山杳霭间	间
数峰头在白云间	头
不知只在维挲处	摩挲
赢得西风舞不还	舞
东风吹雨趁西风	西风
今日思君一梦中	君
不是主人无限意	意
杏花枝上早春风	早
平生何事不先先	先
岂是淳风不凛然	风
折得残阳看不得	残阳
却将枫叶与红燃	红
世事从来万事非	非
不知何处是吾儿	儿
月明月落空空去	空
正是岩头二月时	头
平生何事不先先	先
父子今犹尚不传	犹
自是老来无太鲠	太
不知处处注铮然	注
把酒一樽酒	酒
主人谁解来	解
先生此生处	生
又向赵州开	州
江上万重山	山
沿沟第一湾	沟
乱山深处处	山
处处总人间	总
江上万重云	云
江山总是愁	愁
可怜江上客	客
处处坐回头	坐
东南南北各东西	东西
北望芜城势不齐	城
唯有行人在何处	何人
数声秋雁暮猿啼	秋
门外莺声乱	乱
青山草树青	青
落花犹未在	犹
风雨涨汀汀	涨
湖边春草生	生
春色不相强	强
莫作美人骑	骑
不知俱鬭时	俱
江上千竿竹	竹
风来野水凉	凉
不知江上雨	雨
幽处立斜阳	幽
江上万重山	山
云霄不出关	云霄
不知何处约	约
不是扣门关	扣
从来不不受	受
不是石头子	子
不是陌上客	客
不启今朝席	谒
江上青山处士家	家
与师终日到天涯	师
个中尚有名名姓	名
唯有遗孙叫白鸦	遗
西风飞上钓鱼鱼	鱼
飞入庭庭一苇疏	庭
流水落花人不见	人
桃花尽日看黄鱼	日
杨柳萧条绿	绿
桃花满树红	红
中庭无处地	中庭
万树白云中	树
到处不重来	重来
今年又别来	经年
不知君知否	君
料得几人猜	何人
不作蛟龙走	走
如今在故林	林
只在山深处	山
不知春意深	深
一溪流水下浯溪	溪
江上扁舟画辋溪	画
夹岸荷花花影里	荷花
数声无数听莺啼	无数
一炷一炉香	香
梅花去不飞	飞
主人恐犹在	犹
怪底送春归	底
黄叶枝头枫叶繁	繁
不知何处托江南	托
年来底事成成事	成
直到江南日暮天	天
天上寂无人	无人
无心惟是真	惟
胸中惟有酒	酒
不作百般声	声
古来踪迹本无踪	踪
踪迹从来境界中	迹
不是游人还自笑	笑
不知只在石山中	石
不识主人意	意
那知昨夜夜	夜
归来陌上客	客
独向山中卧	卧
何处不为君	君
不知人事迟	迟
不知三十二	第二
不是画中诗	诗
不见梅花二十春	春
春来春色恰宜春	恰
不知春色今无数	数
不见梅花愁杀人	愁
江上千竿竹	竹
青山远入山	山
江村在何处	江村
今日待郎还	郎
往来天上人	人
日日对幽花	幽花
虽然到四海	四海
亲是是人家	亲
细雨秋风送客怀	怀
还家今日上阳台	家
江山自有游人喜	喜
处处有香犹自开	有香
蒲团荷叶一团团	蒲团
闭户篷窗耐岁寒	闭户
到得老来都不彻	彻
一窗明月逼人寒	寒
万事事难成	成
全身是此身	身
不知无俗俗	俗
不是思何人	思
造物本来无物物	物
白云深处鸟飞飞	飞
青山处处宽归去	宽
不见青山不是机	机
老去归来杳不闻	闻
可怜猿鹤解双群	解
年来不作扬州梦	梦
唯有愁心与白云	心
渺渺长江水拍天	天
不将清梦到岩边	岩
青山只在山深处	山
花落青山水满船	水
风雨正凄凉	凄凉
落日相思苦	苦
我欲问故人	问
谁知有修绠	修
日日无归日	日
无人独往来	无人
应时相见处	相应
愁不向人开	人
不是胸中妙	妙
从来是玉瑕	玉
一空明月色	空
步步过桥桥	板桥
小窗高卧北窗窗	窗
世事那堪亦可伤	堪
世事老来浑不报	报
夜来枕枕听风凉	枕上
亡国从来事不谋	谋
故将轻议议王侯	轻
忠言万事皆休恨	休
千古风流亦不流	流
桃花枝上白黄金	紫金
手撚梅花一寸心	手
老子老来今不拟	拟
又翻风雨恼人心	翻
一树桃花渐渐开	渐
桃花深处带香开	香
双双蝴蝶忽飞去	忽
把酒寻诗载酒来	诗
未熟冬初熟	熟
黄花不占秋	秋
主人知有信	信
须得不回头	不须
春色白如金	金
红花映绿阴	映
谁知有香处	香
春色袭人心	人
空山乔木已苍苍	苍
今日犹闻一炷香	犹
细雨忽随风雨去	忽
满山流水分清凉	分
行人不复复	复
天地自如天	天地
不是真成事	成
伤心非自然	非
造物是元元	元
铮然彩掌中	彩
向来人不见	人
处处有诗穷	诗
不见梅花二十春	春
杏花深处有寒云	云
斜风细雨吹香去	香
不见梅花有几人	人
去年生去本来来	生来
未到柴头拨不开	头
今日往来天地间	间
更无万事强强回	强
江上万重云	云
江南春草生	生
吴园在何处	园
日日又催程	催
老来无世事	世事
何处是严陵	陵
唯有千竿竹	竹
相呼唤老僧	呼
门外无云外	云外
烟波百尺泥	泥
小桥人不见	人
灯照照青衣	灯
世事从来万事非	非
如今万事不忘归	万
老来不得书书在	书
惟有缁尘一布衣	尘
梦里寻花不见花	花
不知心处是年华	心
不知金凤知何处	金
唯有幽禽噪暮鸦	幽
从来陶靖节	节
不是旧知名	旧
曲曲笙歌曲	按曲
飞飞去不惊	飞
万事事难成	成
归来亦自轻	轻
不知人事少	少
应不为君行	君
从来不不受	受
记得一时残	残
今日如今日	今日
应须醉眼看	须
燕子溪头柳色新	新
小桥流水罢游人	罢
争如鸥鹭如何处	争
不是行人不避人	闲人
白玉钗头百颗珠	珠
金酥糁玉糁金酥	玉
年来不得骚人醉	醉
乞与诗人卧读书	卧
三十年来四十秋	秋
就中添得一般愁	愁
明朝骑马驴为马	马
今日行行不白头	行
细雨归来暑气微	微
东南南北向南归	南
行人记得钱塘水	水
一望青山总是非	非
细雨湿罗衣	衣
笼笼白鸟飞	笼
主人无语语	语
那得返中归	返
万里江山隔	隔
孤山鸟水边	鸟
可怜江上客	客
何处是君年	君
今日春来日日闲	闲
一番新雨又新还	新
年年芳草池边草	草
归去迟迟独往还	迟
今日春来日日闲	闲
青山三尺白云间	三尺
西风一阵秋风动	动
尽在人间在世间	人间
细雨看春雨	春雨
行人不避人	行人
向来曾面面	曾
归去亦无人	无人
不见梅花二十春	春
别来不见一番新	新
不知洞府知何处	洞府
知是仙仙作主人	仙
二十年来何处游	游
至今还在越山头	越
如今不与诗人话	话
万顷青山一片秋	秋
何人识此心	心
不是一点点	一点
从来不相问	问
回头独坐坐	坐
一夜东风五月寒	寒
百花千里几人看	人
如今陌上桃花合	合
折得梅花犯雪看	雪
三十年来不记年	年
家家还是米家船	家
梅花不与行人醉	醉
解把金钱种酒钱	解
江上万重山	山
看山不见山	山
不知天上直	直
惹得莓苔还	莓苔
三十年来著世间	著
古来心事有余还	有余
归来处处君知否	君
试我归来独自閒	试
不作行人画	画
从来也不教	教
最宜深处处	最
飞出雪香糊	雪飞
何事重来别有情	情
年来揽手不分明	手
不知踪迹虽微处	微
却向轩轩与此盟	轩
百百三年二百年	百
伤心不与道相传	道
不知只在罗裳处	霓裳
又向春风度十年	度
花落梨花落	花落
桃花陌上花	花
谁知在春处	春
春在野人家	春
扁舟江上舟	舟
暮雨催征裘	催
夜夜不闻笛	闻
日高更白头	日高
百年何事事难难	难
江水无心水自难	水
心事不知何处赋	赋
别来那复复长安	复
柴门午昼开	昼
不见竹边竹	竹
不是消息来	消息
深深夜深处	深
水色湖光照眼明	明
一岩山色照天明	岩
不知处处春风里	春风
不是还家第一程	家
从来如汉汉	汉
不是邺侯侯	侯
志志岂不虚	虚
不为诗九州	诗
燕子溪头柳色新	新
眼中知是一家春	春
夕阳细雨斜阳里	夕阳
不是梅花有几人	人
老去归来不可寻	寻
梅花相结欲相寻	结
虽然镜里三千里	对镜
不是周郎一寸心	郎
仁德由来自有仁	仁
昔曾无事不沾尘	曾
一沟流水山前水	水
未省如今是故人	省
西上上湖船	船
江湖高画船	高
不知湖上道	道
湖上荻生莲	生
日日无归日	日
看花不见花	花
不知燕子子	子
重回几度对京华	重回
日日无归日	日
三声玉笛声	玉
梅花不胜胜	胜
不是水中情	水边
杨柳桥边绿树阴	阴
桃花野草柳阴阴	草木
主人记得东君子	钵
莫向尊前送客心	前
老子从来自有诗	诗
百年心事是平期	平
至今不说皆宾辈	阮
日日横横一抹时	横
不见梅花二十春	春
柳枝已拂杏花新	拂
须知造物应难见	难
不是梅花小主人	小
一阵东风带雨来	雨来
水边花树与云开	云
谁知不是人间地	间
自有游人不得来	自在
薰风初露露	泣露
凉露满帘风	风
露滴红煨烬	红
桃花数点红	红
不向山中宿	宿
梅花不是春	春
雪中闻鸟语	闻
声里是何人	声
往来高下时	长啸
我欲乞山色	乞
终日终日来	终日
谁能与渠我	渠
江上万重云	云
江南春意深	深
不知生处处	生
不是住伤心	住
春去春来早	早
桃花绿水东	东
西风吹落叶	西风
细雨雨声中	细雨
祥云拥彩云	拥
天气入乾坤	乾坤
日日通霄路	路
明朝入帝秦	秦
不见梅花二十春	春
春来物物物宜春	物
东风细雨冲寒去	寒
不是东风是主人	东风
欲去归来晚	晚
长江万里秋	秋
归来好风雨	风雨
何处懒回头	懒
杨柳萧条绿	绿
桃花草已空	空
朝来北窗下	窗
造物在春中	春
